title,big_major_category_1,big_major_category_2,big_major_category_3
gatsvi,business,,
entrepreneur,business,,
business,business,,
launch x,business,,
m&tsi,business,,
jerome fisher summer,business,,
finance,business,,
accounting,business,,
marketing,business,,
financial,business,,
journalism,communication,,
movie,communication,,
video,communication,,
film,communication,,
sns,communication,,
marketing,communication,,
