activity_type,title,big_major_category_1,big_major_category_2,big_major_category_3
activity,national technical honor society,tech_eng,tech_engs,math_sci
activity,science buddies,tech_eng,tech_engs,math_sci
activity,engineering for change,tech_engs,tech_eng,math_sci
activity,"plugged in
 young producers program (ypp):",music,tech_engs,
activity,space camp,math/ science,tech_eng,
activity,teens turning green,tech_eng,social_sci,math/ science
activity,american rivers,social_sci,math_sci,
activity,canfit youth engagement,math_sci,social_sci,social_sci
activity,clean ocean action,math_sci,tech_eng,social_sci
activity,environmental literacy council,math_sci,tech_eng,social_sci
activity,future scientists & engineers of america,math_sci,tech_eng,
activity,green schools alliance (gsa),math_sci,tech_eng,
activity,kids vs global warming,math_sci,social_sci,tech_eng
activity,high school invesgative project at national institute of physics at university of the phillippines,math_sci,,
activity,plant for the planet,math_sci,tech_eng,social_sci
activity,project wet,math_sci,social_sci,social_sci
activity,randomkid,math_sci,social_sci,social_sci
activity,sierra club,math_sci,social_sci,social_sci
activity,sloan digital sky survey - skyserver,math_sci,tech_eng,
activity,the humane league,social_sci,pre-vet,
activity,"red cross youth, phillippines",math_sci,math_sci,social_sci
activity,wisconsin league for nursing,math_sci,,
activity,career mentoring (american dental association),math_sci,,
activity,project dental awareness,math_sci,,
activity,youth act! program,social_sci,social_sci,social_sci
activity,health crops,math_sci,math_sci,math_sci
activity,health occupations students of america,math_sci,math_sci,math_sci
activity,red cross high school club,math_sci,social_sci,math_sci
activity,high school hospitality conference - san diego state university,social_sci,business,
activity,ashoka's youth venture,social_sci,business,
activity,y-press,social_sci,communication,
activity,international federation of philosophical societies,humanities,,
activity,engineer girl!,tech_eng,,
activity,global youth action network,social_sci,social_sci,humanities
activity,industrial mathematics project for high school students (wpi),math_sci,tech_eng,business
activity,skills usa,visual arts,tech_eng,math_sci
activity,taking it global,social_sci,social_sci,humanities
activity,technology student association (tsa),math_sci,tech_eng,visual arts
activity,american museum of natural history after school program,math_sci,social_sci,
activity,new york historical society student historian program,humanities,social_sci,
activity,the key club,social_sci,social_sci,business
activity,the optimist club,social_sci,social_sci,
activity,student press law center,social_sci,social_sci,
activity,national chinese honor society,social_sci,humanities,
activity,the greater boston chinese cultural association (gbcca),social_sci,humanities,
activity,asia society international studies schools network,social_sci,,
activity,international museum of women,social_sci,,
activity,the junior statesmen of america (jsa),social_sci,social_sci,
activity,tedxyouth,social_sci,business,
activity,delta epsilon phi: high school national german honorary society,humanities,social_sci,
activity,goethe institut,humanities,social_sci,
activity,the congress-bundestag youth exchange program,humanities,social_sci,
activity,aatg and the pedagogical exchange service,humanities,social_sci,
activity,visual arts and music for society,visual arts,music,performing_arts
activity,national art honor society,visual arts,,
activity,brooklyn museum teen internships,humanities,,
activity,alliance francaise,humanities,social_sci,
activity,face foundation (french american cultural exchange),humanities,social_sci,
activity,the french cultural center of boston,humanities,social_sci,
activity,america reads spanish,humanities,social_sci,
activity,the spain-usa foundation,humanities,social_sci,
activity,u.s. cervantes institute,humanities,,
activity,the religion teacher,social_sci,humanities,
activity,theology of the body,humanities,,
activity,life teen leadership conference,social_sci,humanities,
activity,conlanging,humanities,,
activity,language creation society,humanities,,
activity,the linguist list,humanities,,
activity,youthink magazine regular writer (teens online magazine),humanities,social_sci,
activity,performing_arts medicine association,social_sci,performing_arts,math_sci
activity,animal charity humane society,math_sci,,
activity,animal humane society,math_sci,,
activity,international veterinary students association,math_sci,,
activity,national honor society for dance arts (nhsda),performing_arts,,
activity,change4life,social_sci,math_sci,
activity,international thespian society,performing_arts,humanities,
activity,the cappies,communication,humanities,social_sci
activity,idea student clubs,tech_eng,math_sci,visual arts
activity,fashionclub.com,visual arts,business,
activity,tri-m music honor society,music,performing_arts,
activity,julliard pre-college division saturday classes,music,performing_arts,
activity,new england conservatory preparatory school,music,performing_arts,
activity,society of composers (sci),music,,
activity,photographic museum of humanity,visual arts,,
activity,habitat for humanity,visual arts,social_sci,social_sci
activity,world food travel association,social_sci,,
activity,jamie oliver school food revolution,social_sci,,
activity,future business leaders of america (fbla),social_sci,business,
activity,teenink (competition & magazine),social_sci,humanities,communication
activity,model united nations,social_sci,,
activity,knowledge@wharton high school (kwhs),business,social_sci,tech_eng
activity,national junior classical league convention,humanities,social_sci,
activity,spanish national honor society (sociedad honoraria),humanities,,
activity,the french national honor society,humanities,,
activity,national student leadership conference on entrepreneurship & business,business,social_sci,
activity,round square,social_sci,humanities,business
activity,ayn rand institute campus club,social_sci,humanities,
activity,objectivist club,social_sci,humanities,
activity,the atlas society,social_sci,humanities,
activity,first technology challenge,tech_eng,,
activity,first robotics challenge,tech_eng,,
activity,robotics,tech_eng,,
activity,engineering,tech_eng,,
activity,arduino,tech_eng,,
activity,technology,tech_eng,,
activity,stem,tech_eng,,
activity,makers,tech_eng,,
activity,makers,tech_eng,,
activity,vex,tech_eng,,
activity,ftc,tech_eng,,
activity,frc,tech_eng,,
activity,fll,tech_eng,,
activity,first lego league,tech_eng,,
activity,computer,tech_eng,,
activity,coding,tech_eng,,
activity,programming,tech_eng,,
activity,programmer,tech_eng,,
activity,engineers without borders,tech_eng,,
activity,engineer,tech_eng,,
activity,3d printing,tech_eng,,
activity,mechanic,tech_eng,,
activity,electrical,tech_eng,,
activity,mechanical,tech_eng,,
activity,chemical,tech_eng,,
activity,mechanical,tech_eng,,
activity,industrial,tech_eng,,
activity,environmental,tech_eng,,
activity,math,math_sci,,
activity,science,math_sci,,
activity,physics,math_sci,,
activity,chemistry,math_sci,,
activity,medical,math_sci,,
activity,biology,math_sci,,
activity,bio,math_sci,,
activity,amc,math_sci,,
activity,hmmt,math_sci,,
activity,isef,math_sci,,
activity,science research,math_sci,,
activity,environmental,math_sci,,
activity,science fair,math_sci,,
activity,mathematics,math_sci,,
activity,biochem,math_sci,,
activity,biochemistry,math_sci,,
activity,physician,math_sci,,
activity,national science honor society,math_sci,,
activity,science magazine,math_sci,,
activity,science journal,math_sci,,
activity,quil and scroll,humanities,,
activity,columbia student press association,humanities,,
activity,literary magazine,humanities,,
activity,lit magazine,humanities,,
activity,history,humanities,,
activity,classics,humanities,,
activity,creative writing,humanities,,
activity,junior classics league,humanities,,
activity,french,humanities,,
activity,language,humanities,,
activity,spanish,humanities,,
activity,chinese,humanities,,
activity,german,humanities,,
activity,japanese,humanities,,
activity,korean,humanities,,
activity,russian,humanities,,
activity,traditional,humanities,,
activity,model un,social_sci,,
activity,mun,social_sci,,
activity,community,social_sci,,
activity,community service,social_sci,,
activity,volunteer,social_sci,,
activity,politic,social_sci,,
activity,policy,social_sci,,
activity,environmental,social_sci,,
activity,society,social_sci,,
activity,equality,social_sci,,
activity,equity,social_sci,,
activity,service,social_sci,,
activity,debate,social_sci,,
activity,mock trial,social_sci,,
activity,best buddies,social_sci,,
activity,red cross,social_sci,,
activity,key,social_sci,,
activity,habitat,social_sci,,
activity,humanity,social_sci,,
activity,social,social_sci,,
activity,deca,business,,
activity,fbla,business,,
activity,gatsvi,business,,
activity,entrepreneur,business,,
activity,business,business,,
activity,launch x,business,,
activity,m&tsi,business,,
activity,jerome fisher summer,business,,
activity,finance,business,,
activity,accounting,business,,
activity,marketing,business,,
activity,financial,business,,
activity,journalism,communication,,
activity,movie,communication,,
activity,video,communication,,
activity,film,communication,,
activity,sns,communication,,
activity,marketing,communication,,
