Essay #,Source,Score,Prompt #1,Prompt #2,Prompt #3,Prompt #4,Prompt #5,Prompt #6,Essay,Showing,Setting,Character
114,Admitsee,3.5,1,2,,,,,"Would my family be a sitcom or a soap opera?If there is any phrase I could use to describe my family life, it would be the 'domino effect.' A problem or a spark would ignite a fire that would engulf our whole existence.It all started with my birth. While I was lucky to come into the world easily, my twin brother did not have that privilege. He incurred birth defects, one of which cost him nerve control and the ability to walk. Thanks to my mother's devotion, he eventually showed great progress in walking, but then he was diagnosed with epilepsy. My father began to consume alcohol and abuse my mother, leading to their divorce. When that was over, my sister was diagnosed with rheumatism and my mother with sciatica, bringing sleepless nights and uncountable visits to the hospital. In turn, my other sister developed depression and even attempted suicide. Following that, my older brother became addicted to drugs. My eldest brother, despite graduating from college, is unemployed with no intention of getting a job, and my mother cried on a near daily basis.As you can imagine, those times were a disaster. To be honest, even I do not know precisely how I made it through. I know however, that whenever I considered giving up, my mother's face popped into my head. She needed me and looked to me hopefully to achieve what my other siblings did not, like getting into a prestigious college, graduating, being a productive part of society, and a pillar supporting our family.My upbringing developed a peculiar mix of pessimism and optimism in my character. I became addicted to inspirational quotes and comedy shows, both of which brought me solace. In middle school, I discovered Anime, which was the source of a quote I cherished very much. I still remember that quote: 'You can't live because you are not strong? Wrong! Only living shows your strength.' That quote, coupled with my mother's image in my head were what propelled me forward, and propel me it did.I remember at 5 when my brother was diagnosed with epilepsy, how I had to adapt to the sight of my twin brother getting seizures, how I learned determination and compassion out of my mother's dedication to teaching him, and how I started sketching to play with him. I remember at 11 when my mother was first diagnosed with sciatica, how I had to take over and handle cooking and cleaning, how I learned that you should never look at onions when you cut them, and not use too much dish soap or bubbles will come out of the sink. I remember at 13 when my sister was diagnosed with rheumatism, how I had to learn how to administer physical therapy, and occasionally, how to braid someone's hair for her. I remember at 15 when my other sister showed signs of depression and even attempted suicide, how I taught her sketching to express her feelings, how she in turn taught me basic knitting, and how we both collaborated to make a dress as a gift for my mother.Fortunately, my life is not a roller coaster anymore. My mother and sister are doing great through physical therapy. My dad stopped consuming alcohol and I am actually currently living with him. My other sister and older brother are doing great through therapy. In fact, both are currently pursuing degrees in humanities, and my twin brother, despite his impairments, became the top student in his graduating class.Despite the darkness of those times, I don't regret experiencing them. For only darkness lets you see light, and instead of remaining in darkness, I became a light that shone on my family.",,,
115,Admitsee,,,,,,,,,,,
116,Admitsee,,,,,,,,,,,
117,Admitsee,4,,,3,,,,"The Prime-ary Challenge'You will finish your classes later today,' announced my teacher as we heard the sound of sirens that pulled us to the windows.'Must be an official, has such a huge escort,' said my classmate, adding a flavor of curiosity to our perplexed emotions. To soothe the atmosphere, I added, 'Yeah, one wrong word against them, they'll take you away.' This is a common Armenian saying, forged during the dictatorial Soviet era that succeeded in oppressing the public opinion and eliminating free discourse so fundamentally that my joke still bore a spoonful of actuality.Asked to take our seats, we learned the identity of our guest only after he entered our classroom. An instant wave of surprise and discomfort made me feel the possible imminence of my conversation with him\uff0dwith someone whose political views and those of mine are at odds\uff0dwith the Prime Minister of Armenia. Luckily, my principal started presenting our school. But when we were asked to give questions to the Prime Minister, our teacher broke the proceeding unpleasant silence, 'Mr. Prime Minister, we would like to know what the current situation on the Karabakh-Azerbaijani border is.' The Prime Minister reasserted of the relative calmness on the border, adding, 'The new powerful weaponry from our primary ally, Russia, ensures strengthened security and...'An electric shock immediately passed through my body and evoked my fresh memories about the devastating war in April 2016 in Nagorno Karabakh where our \\\u2018ally' has been actively intervening. And on top of this, Armenia's (forceful?) joining an economic union, ruled by \\\u2018our ally' and favored by the Prime Minister, underscores the cynicism of our political reality. But despite my desire to speak up, my inner voice bombarded me with questions: 'Should I discard my own opinion? Should I counter the Prime Minister?' The Armenian joke revisited me, this time however not generating laughter, rather anger towards myself and others reluctant to voice their opinions. This made me overcome dubiety and act. I raised my hand.The Prime Minister stopped to take my question. 'Mr. Prime Minister, but don't you think we should reconsider our relations with Russia? For many years this country triggers war by supplying weaponry to both belligerent states, instead of being the pacifist liaison between the two. Would it not be fallacious to call that country our ally?'I was relieved. I challenged the Prime Minister's and his supporters' views, but above all, myself and the Armenian identity that had been indoctrinated to unwaveringly accept ideas from \\\u2018above'. Well, breaking the \\\u2018wall' certainly hurt. Yet upon realizing I stepped outside the box, I felt empowered, shouting to let the world know it is possible, albeit some \\\u2018glances of disapproval'. One belonged to my principal who whispered to my teacher, 'Does this kid know who he is talking to?'The Prime Minister's answer proved me more. Listing several advantages of reinforcing our ties with Russia, some solid though not mind-altering, he concluded, 'In any case, this is our only way.' This was when I realized that the Prime Minister conceded: we appeared on the same ground, one of discussion and mutual understanding. Looking back, I understand how powerful debate is and realize that I also challenged those who discourage political divergence and mock the opposition for 'wasting time' confronting the government, thinking nothing can be reached, anyway. Well, they say when two things crash, both suffer. However, when two opposing ideas do, we see them collide, intertwine, spiral, and blossom. And it is beautiful to see how both benefit from the interchange of ideas and reach a compromise. Although my little chat with the Prime Minister was not an exemplar of a debate, it did prove eye-opening to me. They didn't take me away\u2026 I had a powerful weapon\u2026 my willingness to discuss.",,,
118,Admitsee,3.5,1,2,,,,,"Hi Man Hing. Pick up or delivery?'Whether I liked it or not, this phrase has and will continue to follow me throughout my entire life\u2014and not just because I say it about 100 times a day. Growing up as a Chinese kid in a predominantly Caucasian area, I was often alienated because of my foreign lifestyle. Not taking into account the cruel, savage nature of children, I often blamed myself for not fitting in with the status quo. The worst offender that allocated me as an 'outlier' was my parents' Chinese take-out restaurant right in town: Man Hing. With relentless 'ching chongs' and comments about using cats and dogs in our food, I quickly grew to resent my family restaurant and the albatross it hung around my neck. Rather than sharing and appreciating my Fuzhounese culture, I began to bury my roots and Americanize myself as much as possible. Adding to the fiery resentment that burned within, I was stripped of my childhood and thrown into the workforce at the age of 11. Taking orders, working the cash register, preparing food\u2014this is not what a child should be doing at such a young age. I found my grades faltering because 'I had work.' I took the easiest classes available, never challenging myself, knowing that I could use the restaurant as an excuse for having no time to focus on school.However, something felt inexplicably wrong about my mediocre lifestyle. On a blustery October night in 2012, Hurricane Sandy ran rampant through Fair Lawn. The ceiling lights flickered on and off until the restaurant was consumed in what I thought was a void of darkness. Our phones provided glimpses of light in the pitch-black store, revealing obscurities I had never seen before. My petulant, 13 year-old mind that was once shrouded in the darkness of spite had cleared up seeing my parents' stressed, pale faces. While they could have weathered the storm in the comfort of our home, they ran the restaurant during the hurricane, keeping my best interests in mind.The torrential storm blew away the darkness within my mind and brought light upon the privilege and fortune Man Hing has brought to my life. I started to realize the strain that this restaurant put on my parents. They worked countless hours every day, seven days a week, 52 weeks a year. My parents slaved over vats of boiling oil and woks full of General Tso's Chicken all so that I could have everything I needed in life. Man Hing wasn't a curse; it was a blessing.After finally acknowledging my ignorance as a child, I felt the need to work harder\u2014not only at the restaurant, but also at school. By immersing myself in both worlds, all different facets of my life benefitted from my newfound determination. I grew to love the satisfaction of helping customers and receiving a warm, genuine smile in return for my service. I grew to love exploring my innate, intellectual curiosity by working to my full potential in school. And I grew to love Man Hing and all that my culture has to offer through the ethnic foods and traditions the restaurant exposed me to.No matter where the future may take me, I will never forget that I owe my success to the place that gave me so much more than just an income. Man Hing has given birth to my love for service and helped to cultivate my insatiability for knowledge. Man Hing has taught me to work hard for what I want and to rise above petty discouragement. Man Hing has been my second home for the past 17 years and inspired me to be proud of the person that I am today. In essence, Man Hing has made me an outlier.",,,
119,Admitsee,2,,,,,5,6,"Le Papillon des \u00c9toiles by Bernard Werber I discovered sealed boxes labeled 'fourth grade' in storage. It had been six years since my family emigrated from Korea, but because of the frequent moves over the years, some of our belongings were perpetually being packed and unpacked in U-Haul boxes. In one such box, I picked up a book with a pretty metallic engraving of a butterfly: a copy ofLe Papillon des \u00c9toiles translated into Korean. The metallic butterfly jogged my memory of how my younger self had been so immersed in the story of escaping tarnished humanity on Earth and restarting civilization on a distant planet. Seven years later as a high school junior, I read the book in French. While in fourth grade Werber's creativity had drawn me into his microcosm parallel to our current world, I recently came to realize that his work isn't simply a work of science fiction. Instead, it is an expos\u00e9 on how society is ruining the Earth for future generations. The tarnished humanity Werber described was overlapped with the news of terrorism, hate, and insensitivity I read everyday. I started to worry about what would happen if the world continued as Werber foreshadowed; it prompted me to take responsive measures to improve the society around me. This epiphany initiated my first step of metamorphosis, my process of crawling out of boundaries to transform his words into action. My second stage of metamorphosis began in the summer of 2015 when I walked into the grandiose headquarters of Goldman Sachs in Manhattan for the Girls Who Code Summer Immersion Program. A confounding, yet encouraging feeling came over me, similar to that of the astronomer, Yves, when he first met and asked a billionaire for support to continue his mission inLe Papillon des \u00c9toiles. Although the technical aspect of learning how to code captivated me, the best part was experiencing that I could make a truly meaningful difference in people's lives, as I co-created NuMe, a pregnancy tracking web application designed to assist low-income women.Watching working women test our website and getting positive feedback was both gratifying and motivating; I felt inspired to find more ways in which I could use my passion for technology to positively impact others. The next stage of my metamorphosis developed during my time as an intern at the United Nations. At the UN, I wanted to delve deeper into technological accessibility in the the world. After scouring the UN Library, I was disappointed with the scarcity of information on this issue. However, I was introduced to the manager of the Applications Development Team in the UN Population Fund. He invited me to demonstrate my project, NuMe. In the presentation, he gave me feedback for further improvement and we shared the passion of helping others using technology. He also introduced me to his team projects for Sub-Saharan Afri1) ResearchI conducted two environmental research projects with my partner, Jordan Sanford, since sophomore year. Our first project was the Utilization of Optical Fibers to Maximize Algal Biofuel Production, in which we extracted glycerides from microalgae, Scenedesmus obliquus, that was irradiated with light, delivered by a solar powered optical fiber net to enhance algal lipid production, thereby producing an alternative renewable fuel. This project received Honors Award at the Long Island Science Congress and Syosset High School Advanced Research Award, given to four students per grade.Following is an abstract for our second research, Utilization of Epigallocatechin gallate (EGCg) asa Shewanella putrefaciens ATP Synthase Inhibitor to Maximize Microbial Fuel Cell Performance, done in- school throughout my junior year and completed over the summer.This project was awarded as a 2016 Siemens Semi-Finalist project.Traditional processes to purify wastewater are ineffective, costly, and time consuming. The byproducts of these methods are harmful to the environment as well. Microbial fuel cells (MFC) provide a promising new method of wastewater treatment using a single-step process that limits the amount of sludge produced. Since current efforts have not been effective enough to replace traditional wastewater treatment methods, this study sought to create a more realistic approach to MFC water purification. Epigallocatechin gallate (EGCg) was the main variable tested to determine if purified water output could be increased by inhibiting the ATP Synthase enzyme of Shewanella putrefaciens, a facultative anaerobe. Two novel MFC structures tested the hypothesis. Both 300 mg and 600 mg of EGCg per liter of wastewater did not create a high enough concentration in the MFC to have a noticeable effect on performance; however, the final results of the experimentation showed a drastic effect at a 900 mg\/L concentration due to an increased voltage produced by the MFC. To improve the performance of MFCs, past studies have resorted to using expensive and rare materials. Our findings indicate that bacterial chemiosmosis modification can result in improved MFC performance when compared to current efforts.2) Chamber Music Performance at Lincoln CenterI was the chamber music quartet leader of one of eleven winning groups selected from the Tri-State area, and received two coaching sessions from pianist Alessio Bax. The video linked below is from the winner's concert held at the Lincoln Center Alice Tully Hall.https:\/\/www.youtube.com\/watch?v=b4qehY8BoRk3) Girls Who Code Summer Immersion Program & NuMeThe program is hosted by partner companies for young women to explore the field computer science. As a graduation project at the Girls Who Code Summer Immersion Program, I created a pregnancy tracker web application with my partner, Sophie Garcia, which can be accessed at the link below. Users can enter odd pregnancy symptoms to check for any complications and by using an embedded map, find hospitals and doctors near them.http:\/\/numeapp.altervista.org\/My presentation of NuMe at the New York University Skirball Center as an invited speaker for the NY Tech Meetup, one of the largest meet ups in the world for technology, is linked below.https:\/\/vimeo.com\/174553010 (45:25-50:20)CA Park, Dahyun CEEB: 335443 Fall 20179 FYRD CAID: 14052855PREVIEW4) United Nations InternshipI was involved with the High Level Political Forum, a two-week review of progress for the 2030 Sustainable Development Goals, during the United Nations internship. I was one of the two high school interns who delivered a speech on behalf of the Major Group for Children and Youth. I assisted in drafting the statement for Donovan Guttieres, one of the panelists of the '4th meeting Science-policy interface: New ideas, insights and solutions', and I delivered a short speech on behalf of the Major Group in the same meeting.",,,
120,Admitsee,,,,,,,,,,,
121,Admitsee,3.5,1,,,,,,"Wide right, the forward lateral pass leading to the infamous Music City Miracle, and a playoff drought as old as I am \u2013 seventeen years, to be exact.The Buffalo Bills have a reputation among the National Football League as a team of yearly high expectations and inevitable failure. Tabloids and social media have dubbed Bills fans some of the most passionate in the League, focusing on the notorious tailgate culture. While these perceptions of outsiders aren't contestable, the impact of the Bills on the city and its residents encompasses much more.It is one o'clock, and my Buffalo-native family is either circled up around the TV in our living room or relishing in the electric atmosphere of New Era Field, awaiting kickoff \u2013 the scene of almost every football Sunday since I can remember. Before I could speak in full sentences, my father taught me to raise my arms and yell 'touchdown.' It wouldn't surprise me to find out that it was my first word. When my Puerto Rican great- grandparents would join us, Spanish subtitles would roll across the bottom of the screen, allowing them to keep up with the quick play-calling. The noise in the stadium was deafening as our family joined 71,000 other Bills fans donning jerseys of former first-round picks, each hoping for a playoff berth.The scene was much different on October 18, 2015. The Buffalo Bills were playing the Cincinnati Bengals, coming into the game with a 3 and 2 record. Instead of being with my entire family, as Sundays had been for years prior, I stood shivering on the field as the first snow of the season fell. There I watched, uncomfortably sandwiched between my dad and his then girlfriend, now wife, following a messy divorce between my parents. After two years, this was my first voluntary interaction with the two of them together \u2013 all in the name of not missing the game. For a time before this, I would watch the games alone in my room, armed with the companionship of homemade chicken wing dip. The cold shoulder that I had been giving my father was comparable to the harshness of Buffalo winters.At the time, I had supported the Bills through fifteen years of exciting road wins, but even more losses that crushed any and all hopes of playoffs for that season. Each year, though, Buffalo fans would handle such adversity with grace, continuing to support the team through the low points for the sake of the community. I came to realize that I should approach my new family dynamic in such a manner. Instead of holding grudges against players and management when times got tough, I would look to the next season for improvement. Likewise, instead of jeopardizing my inseparable father-daughter relationship by holding onto the bitterness I felt about the situation between my parents, I moved on.The ability of Buffalo sports fans to handle hardship and move on from the tough times sets us apart from many other fan bases across the country and is one of the most important building blocks of our community. Furthermore, it is a skill that I am grateful to have acquired. A life without setbacks does not exist, but growing up in Buffalo has provided me with the ability to approach each difficulty with poise. I have learned the sheer importance of a belonging to a solid community, whether it be my immediate family or a city with a population of 250,000.My hometown and its NFL team have taught me all that I need to know about football; I can ramble about routes and blitz plays for days. More important, though, are the lessons I have learned from every win and loss. Wherever I end up, I will take the heart of Buffalo with me.",,,
122,Admitsee,5,1,2,,,5,,"The waves engulf the sharp shards of broken glass and sweep them into the depths of the ocean where time and sand will slowly weather the edges of the glass. After decades, the glass that was once ugly and untouchable now has a soft, smooth patina that encourages one to bend over and pick it up. The lapping of the waves will bring these pieces of sea glass back from the depths of the ocean and scatter them all over the beach.I keep a firm grip on the large hands encompassing my smaller six-year-old ones while my parents and I slowly make our way down the brisk and somewhat gloomy Alki Beach in West Seattle. To assuage my irrational fear, I gaze up at the tall figures on either side of me and know that neither have left me. I find my eyes drawn to the recently shaved head of my dad and remember the night our lives restarted, the night we learned he had brain cancer. I tighten my grip on my parents' hands because this outing is one of the first since his seizure, surgery, and chemotherapy. Now we all have to face the most difficult challenge: healing and overcoming the fear that saturates our lives. Our little group, bonded by the trials of the past three months, makes its way down the beach. Our individual lines of sight slowly scan the gray, rugged, and sandy ground under our feet. A glint of light from the beach a foot ahead of me catches my eye and causes me to stop. A jagged piece of clear broken glass rests on the sand.Several year later, the coarse sand crunches under my feet as I scour that same beach for the small pieces of sea glass that are my treasure. Behind me, I hear the gentle crunching of my parents feet on sand. I can still feel their support while we continue on our shared quest that started in this place more than ten years ago. Back home, the overflowing jars and bowls filled with the small green, white, brown, and the occasional blue shards testify to time devoted to combing beaches. I concentrate completely on the ever-changing square foot of beach directly beneath me as I hunt. An unexpected gust of cool air causes me to tighten my fleece jacket. A smile makes its way across my face as I breathe in the saline Seattle scent that permeates the city. That smile stays in place because my dad just received his tenth and final cancer-free MRI. His cancer no longs looms over us with the fear of recurrence. I come to a stop as I spy a morsel of opaque and almost luminescent white sea glass. I let the wonder of my discovery overcome me. I look back over my shoulder at my parents with a hopeful smile and brush my thumb over the velvety surface of the glass.",Showing,Setting,
123,Admitsee,4,1,2,,,,,"As I sit, staring into the abyss of the Boston skyline, I feel as though I am living an out-of-body experience. So small in such a big world, I believe that I am undeserving of the cards that life has dealt me. My eyes quietly scan the faces of my cohort sitting near me, their utterly blank looks speaking more than their words ever could. I suspect that my expression mirrors theirs. We are in complete awe of what we are seeing: the towering buildings in front of us speak firmly, calling us closer. On the horizon, buildings are lit, each reflecting a uniquely tinted iridescence. Higher than any of the skyscrapers, the moon peeks its way out from behind the spotty clouds. It shines brighter than any building, almost boasting of its natural beauty compared to the artificiality of the man-made architecture it was shadowing.Looking around, I take in the sight of the campus I am overlooking- Massachusetts Institute of Technology. I have been given the opportunity to be a part of MITES, Minority Introduction to Engineering and Science, a rigorous STEM summer program. Surrounded by a tight-knit community of like-minded individuals, I feel that I am completely underwhelming. Who would have thought that I, from small-town Wisconsin, would be sitting atop a Cambridge building? I look around, trying to put the pieces of my own life together. The orbs of rain cascading from the thin clouds bring me back to reality. My friends have scattered amongst themselves, the first signs of life since our earlier ascent. Their conversations are nothing more than background music to my concurrent symphony.I dive deeper into the infinite depth of my roaming mind, wandering back once again to the thoughts of being undeserving. I have felt this before, like I am 'cheating life'- almost as if I have been given more than I deserve. This concept, however, stems from something much deeper than just one summer program. In this moment, painful memories rush to mind. At the age of four, after being abandoned by my biological parents, I was adopted. Having been literally given a new chance to be successful and loved in life is the stem of my greatest insecurity. Not being the 'right person' in the moment, constantly comparing, I easily identify my own flaws and wonder why I am given opportunities that I have been given.The rushing wind sweeps me out of my memories. Taking in the sight of the skyline, I peer beyond the buildings as individual pieces of architecture, but observe them as a whole. The buildings are all unique. Some are huge, while others are short and long, stretching out on the ground beneath. Their varying appearances spark a realization for me. Just like the buildings that make up the Boston skyline, which act as perfect complements to one another, I am merely a piece to a puzzle. Whether that puzzle be a school community, my family, cohort or best friends, I belong where I am, fully deserving. I have worked hard to get where I am today, and I am the rightful owner of my opportunities and successes. The 'puzzle' wouldn't be complete without me.Smiling, I take one last glance at the skyline. Numb legs stretching, I begin to shuffle towards the creaky ladder that guided my journey up what seemed like a lifetime ago. Starting to descend, I remind myself that although I may not always feel deserving of the life I have been given to live, I am. I am merely a piece to a bigger puzzle, a bigger community, and a bigger world. At three in the morning and two thousand miles from my house, the cold, industrial skyline makes me feel warmer and more at home than ever before.I live a crazy life with three younger sisters. Making it more complex is my youngest sister, Isabella. Isabella has congenital heart disease and calcification of the heart, sending her heart into failure. She is currently experiencing the last stage of failure before being placed on the heart transplant list. With her barrage of medical complexities, she is constantly in and out of the hospital. My mother stays with Isabella at the hospital. My father, who works a full-time job, often has to take off of work to be with them both. With frequent stays at the hospital, it has become my responsibility to take care of my sisters, which includes getting them to school, cooking meals, tutoring, and being the person that they need to lean on for emotional support. Because my father isn't always able to work, I occasionally have to financially support my family.With these experiences in mind, I can say without certainty that one of my greatest skills has become leadership. I have been forced to grow up, taking on a lot of responsibility. It is common for me to have to take on the role of 'parent' when my parents cannot be with us, all while struggling to hold it together emotionally for my sister's sake. Contributing to my family as a leader when necessary lifts a huge weight off of my parent's shoulders, making it slightly easier to enjoy the few years we have left with Isabella. Not only do I use these newfound leadership skills at home, but I now see them emerging at school as well. I am becoming more involved in the leadership of my extracurricular activities, and in the classroom, I am the student that others look up to for not only academic help but also as a leader. Although extremely challenging and never wished upon, Isabella's illness has taught me valuable life lessons. It has taught me skills that I will continue to cultivate wherever I attend college and wherever life takes me.",,,
124,Admitsee,3.5,1,,,4,,,"Arroz con gandules: More than a Meal'Corta la cebolla, mamacita.'Replying with a fervent nod and 'S\u00ed, mam\u00e0,' I braced for oncoming tears and cut the onion necessary for arroz con gandules, the staple recipe in our household.Since I was a child, I patiently waited and watched my abuela, mother, and aunts prepare a mouthwatering dish with the most aromatic smell in the world. After an exhausting school day, just one whiff of the delectable food instantly revitalizes me. This certain scent, which I can solely describe with the word 'home,' results from white rice mixed with colorful vegetables, pigeon peas, and a savory condiment that explodes your taste buds with a single bite: sofrito. One has not experienced Puerto-Rican gastronomy, or excellent food in general, until they eat this heavenly meal.The cooking process sounds easy enough, yet even a slight miscalculation ruins the flavor. My great-aunt, Titi Mery, proudly professed to be the arroz-con-gandules-queen, and for sixteen years I observed her precise measurements and still remember her warning my mother to 'Chop one bunch of cilantro, not two!' or 'Cut that amount of salt, I don't want high blood pressure!' In the eyes of Titi, the delicious dish held a greater function than leaving an insatiable craving for a second helping. 'Arroz con gandules is more than some meal,' she would wisely state in her Boricuan accent. 'It reunites the whole family.'Those words formed into a mantra I recited under my breath with every slice and dice of the onion that caused my burning eyes to well with tears. My parents offered to host the annual family gathering at our house, and assuming such a role left us in charge of creating the cultural cuisine adored by my relatives. The paramount task of making arroz con gandules was regularly done by my great-aunt, but her sudden passing left a gap in both the cooking and social aspects among our family. Despite teaching the basics to her daughters, nieces, and a few Peruvian members from my father's side, no one dared to pursue the craft dominated by our beloved Titi. The dish, which meant everything to my aunt, would be absent at the most familial event of the year\u2013\u2013and I refused to let that happen.Far from a seasoned chef, I volunteered to honor my aunt's position, which led me boiling heaping quantities of rice and pigeon peas while chopping onions, sweet peppers, and a plethora of spices. It was hard to ignore the dubious looks thrown my way; it hurt when my grandmother scrutinized my cutting skills, raised an eyebrow, and simply handed me the recipe. Yet I threw the instructions away, for I memorized every step by heart\u2013\u2013and even if the results proved disastrous, I'd give my all to make Titi proud. For years I admired the strong women who expertly maneuvered through a crowded kitchen and calmly prepared several dishes. Now it was my time.After hours of preparation, the large pot containing the meal was shockingly empty within minutes of making it to the table, its unique aroma still wafting through the lively dining room air. As I sat alongside my family members\u2013sharing countless stories, debating over which La Liga soccer team was the best, eating and laughing until our stomachs ached\u2013the immense hole formed since my aunt's death began to shrink as Titi Mery's mantra came to fruition.I contentedly continue the job of making arroz con gandules at festivities, teach younger relatives the skill, and occasionally experiment with the recipe and incorporate Peruvian ingredients to add more spice in both taste and originality. Excitement now replaces any previous skepticism, and today, I can't imagine reunions without the classic dish on the table.Although I won't occupy the arroz-con-gandules-queen title for a while, there's no doubt Titi remains pleased that our favorite meal still performs its true purpose.""",,,
125,Admitsee,,,,,,,,,,,
126,Admitsee,4,,,,,5,,"The first thing I notice is the sugar packet in her hands. She kneads it between her fingers, staring at it as if she was waiting for something to happen. She turns the packet over and over with such intent I'm afraid it will break open.I place their coffees down and ask if they're ready to order. She nods and quietly points to the picture of oatmeal on the menu. She looks up expectantly at the man sitting across from her. 'Honey?' she breathes.'Yeah,' he mutters. 'I'll take the lumberjack special.' I reply in perkiest voice, 'Okay! I can take your menus for you.' They push them to the edge of the table, looking back at me with strained smiles. I assume they're a couple, both young and attractive and looking utterly miserable. But with coffees to refill and tables to bus, I don't have time to give it much thought.I dart from table to table before I see the cook poke his head out of the kitchen and signal that my order is up. I make my way through the bustling restaurant back to their table. A tense hostility emanates from the booth; I feel a deep uneasiness. 'Alright, I have the oatmeal and the lumberjack special for you,' I say, suddenly self-conscious of my voice. As I place the eggs down, the man rises. He mumbles something about how he just can't do this anymore and says 'I'm sorry' just a little too loudly and a little too forcefully for it to be believable. His sneakers squeak against the floor as he walks away. The girl remains seated in front of me, the sugar packet now clenched in her fist. I recognize her. I've never met her before, but I know I have seen her face. I've seen it on my friends, on my mom, and in the mirror. It is a face of heartbreak and defeat. Although we are both here in this diner, we are occupying separate universes, and hers has fallen apart. I want to embrace her before I remember that I do not know this woman; we are just strangers witnessing a deeply private moment play out in public. She fumbles with her wallet and pulls out a few bills. 'I hope this is enough.' She grabs her purse and takes a determined breath. I thank her, stopping myself before adding 'Have a good day.' Words feel out of place, so I attempt to express everything in a smile. I collect the plates of untouched food and the unopened sugar packet and bring them to the trash. I've seen a thousand people pass through the restaurant, but whenever I picture this booth, I see this couple sitting there. They stand out to me because, as I witnessed their private heartbreak, I became acutely aware of my own role as a stranger. Every day, the bikers, cosplayers, and yoga moms who have occupied this table enter the restaurant with lives as complex and dynamic as mine or yours. They are complete humans with their own stories that spread beneath them like the roots of a tree. Whether it be as waitresses or runners at crosswalks or travelers passing through arrival gates, we've all made a fleeting appearance in an untold number of these tales. Among this mass of unfinished stories, I am a stranger swept up in this blur of humanity. By the time I return to the dining room, a family is clamoring into the booth. While I take their order, I watch the toddler kneeling on his seat, amusing himself with a sugar packet clutched in his tiny palm.",,,
127,Admitsee,4,,,,,5,6,"A bit of sunlight streams through a partially covered window, revealing just how empty the bookshelves have become. The mahogany seems smaller, faker than when I was younger. What was once a large collection of children's books has dwindled to no more than a dozen. I close my eyes and picture my childhood self in this library: bright eyes, knee socks, arms shaking under the weight of one book too many. But that girl is gone, and as the library approaches closing time, I am still here, standing in the now-empty family room alone.I don't remember the first time I read Matilda, but my connection with the story, about a kid who made a home out of overflowing bookshelves and endless questions, was unsurprising. As a child, I didn't just identify with the girl with a red ribbon in her hair, simultaneously engaged in and dismissed by the world\u2014I was her. Like Matilda, I thought I was limitless: with my arms outstretched, I balanced four library books on my head, twirling until I collided with a bookshelf. Yet I was also her as I ached to know more, to read every story in the universe and then some. When reality beckoned, the sound of Matilda's wagon of books against concrete never failed to call me home.Back then, I was fascinated by the paradoxes of the library. If I forgot to return a book, would the librarian come into my room in the middle of the night to take it from me? Why were librarians given the power to speak, but the patrons had to remain quiet? And if we did make noise, why was it okay to break the silence when someone sneezed, but not when they coughed?After turning to her for answers, the librarian brought me a book on the common cold, opening to a picture of nasal anatomy. The nerves were fleshy pink and bulbous. 'But what's so special about a sneeze?' I implored. 'What does this mean?'She paused for an instant. 'Some people say that when you sneeze, your heart stops. They say \\\u2018bless you' so your soul doesn't leave your body.' 'All over a sneeze?' I whispered. 'Weird.'As I got older, my questions expanded from sneezes and coughs to curiosity about a world that seemed increasingly complicated and foreign. When the simplicity of our childhood faded, my friends and I sought explanations through writing, then tossed our melodramatic poems into frustrated, forgotten piles, all in an attempt to find clarity.I still struggle with things left uncertain, but, over time, I've begun to accept that some questions defy simple answers. Overwhelmed by all I didn't know, I learned how to craft worlds of comfort through my stories. I have come to understand that nobody can explain everything\u2014we all need a Miss Honey sometimes, someone to guide us like the kind soul who first helps Matilda find her own voice.In my childhood library, the lights flicker as though the electricity may cut off at any second. I trace my fingers over the edges of the bookshelves. They still feel familiar, predictable to the touch. Children don't come here anymore, the librarian explains, at least not how I once did. I disagree. There are few chairs occupied, but a family sits in the children's section, books resting on the table's yellow surface.Matilda has been checked out. The librarian offers to put it on hold for me, but I decline. I am still learning how to write, question and live, just as I yearned to at age seven, but another girl needs that book today. And if we were to meet, I'd say that I've been to the future and it needs girls like her: girls who demand answers, who will stop at nothing to know everything. Somewhere, she is sitting with a red ribbon in her hair, waiting to be seen.""},{""index"":1,""personal_essay"":""Words matter in the artistic sense, in the civic sense, and in the intimate conversations shared with those closest to us. Yet language's evolution is inherently political: throughout history, it has been used as a tool of power, enfranchising and disenfranchising millions. In Peru, for instance, most reporting is done in Spanish, not native Quechua. Though the media's rejection of this aboriginal language is subtle, it is nevertheless an attempt to erase the indigenous people's identities. Language carries both the incredible potential to evoke empathy among strangers and a complicated historical past, and exploring where these interpretations intersect fascinates me.",,,
128,Admitsee,,,,,,,,,,,
129,Admitsee,,,,,,,,,,,
